Name,Stab Acc,Slash Acc,Crush Acc,Mage Acc,Range Acc,Stab Def,Slash Def,Crush Def,Mage Def,Range Def,Melee Str,Range Str,Mage Dmg,Prayer,Weight
Granite body,0,0,0,-22,-5,87,84,79,-6,97,0,0,0,0,22.679
3rd age platebody,0,0,0,-20,0,96,108,113,-4,97,0,0,0,0,9.979
Torva platebody,0,0,0,-18,-14,117,111,117,-11,142,6,0,0,1,9.979
Crystal body,0,0,0,-18,31,46,38,48,44,68,0,0,0,3,2
Blood moon chestplate,0,0,0,-15,-10,60,80,80,40,79,4,0,0,0,5.443
Bandos chestplate,0,0,0,-15,-10,98,93,105,-6,133,4,0,0,1,12
Bronze chainbody,0,0,0,-15,0,7,11,13,-3,9,0,0,0,0,6.803
Iron chainbody,0,0,0,-15,0,10,15,19,-3,12,0,0,0,0,6.803
Steel chainbody,0,0,0,-15,0,17,25,30,-3,19,0,0,0,0,6.803
Black chainbody,0,0,0,-15,0,22,32,39,-3,24,0,0,0,0,6.803
White chainbody,0,0,0,-15,0,22,32,39,-3,24,0,0,0,1,6.803
Mithril chainbody,0,0,0,-15,0,25,35,42,-3,27,0,0,0,0,5.896
Adamant chainbody,0,0,0,-15,0,36,50,61,-3,38,0,0,0,0,7.711
Rune chainbody,0,0,0,-15,0,63,72,78,-3,65,0,0,0,0,6.803
Dragon chainbody,0,0,0,-15,0,81,93,98,-3,82,0,0,0,0,6.803
Rangers' tunic,0,0,0,-15,15,6,9,12,6,6,0,0,0,0,3
Green d'hide body,0,0,0,-15,15,18,27,24,20,35,0,0,0,0,6.803
Spined body,0,0,0,-15,15,40,32,45,20,40,0,0,0,0,6.803
Blue d'hide body,0,0,0,-15,20,23,30,30,28,40,0,0,0,0,6.803
Red d'hide body,0,0,0,-15,25,26,34,36,36,45,0,0,0,0,6.803
Black d'hide body,0,0,0,-15,30,30,38,45,45,50,0,0,0,0,6.803
Karil's leathertop,0,0,0,-15,30,47,42,50,65,57,0,0,0,0,6.803
God d'hide body,0,0,0,-15,30,55,47,60,50,55,0,0,0,1,6
Hueycoatl hide body,0,0,0,-15,30,55,47,60,56,55,0,0,0,3,6.803
3rd age range top,0,0,0,-15,30,55,47,60,60,55,0,0,0,0,4
Eclipse moon chestplate,0,0,0,-15,31,15,18,57,55,32,3,0,0,0,3
Shayzien body (5),0,0,0,-10,10,20,24,28,-4,27,0,0,0,0,9.979
Shayzien platebody (4),0,0,0,-9,0,28,35,37,-4,25,0,0,0,0,9.979
Shayzien platebody (3),0,0,0,-8,0,25,32,35,-3,22,0,0,0,0,9.979
Shayzien platebody (2),0,0,0,-7,0,20,25,30,-3,20,0,0,0,0,9.979
Verac's brassard,0,0,0,-6,-2,81,95,85,0,81,0,0,0,5,4.989
Shayzien platebody (1),0,0,0,-5,0,16,20,22,-2,16,0,0,0,0,9.979
Yak-hide armour (top),0,0,0,-5,0,25,20,15,-2,25,0,0,0,0,2.721
Frog-leather body,0,0,0,-5,10,23,26,30,15,32,0,0,0,0,5
Snakeskin body,0,0,0,-5,12,25,28,32,15,35,0,0,0,0,6.803
Hardleather body,0,0,0,-4,8,12,15,18,6,15,0,0,0,0,3.628
Studded body,0,0,0,-4,8,18,25,22,8,25,0,0,0,0,5.443
Masori body,0,0,0,-4,43,37,35,38,25,33,0,4,0,0,8
Masori body (f),0,0,0,-4,43,59,52,64,74,60,0,4,0,1,10
Leather body,0,0,0,-2,2,8,9,10,4,9,0,0,0,0,2.721
Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62
Priest gown (top),0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.814
Druid's robe top,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.907
Shade robe top,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.907
Ancient ceremonial top,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.9
Monk's robe top,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.907
Zealot's robe top,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.907
3rd age druidic robe top,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5
Silly jester top,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,6.803
Blue robe top,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907
Citizen top,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907
Fremennik shirt,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907
Fremennik robe,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907
Vyrewatch top,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907
Khazard armour,0,0,0,0,0,9,11,10,0,0,0,0,0,0,0.566
Rogue top,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0.453
Larupia top,0,0,0,0,0,10,15,19,0,12,0,0,0,0,0.226
Void knight top,0,0,0,0,0,45,45,45,45,45,0,0,0,0,6.803
Elite void top,0,0,0,0,0,45,45,45,45,45,0,0,0,3,6.803
Obsidian platebody,0,0,0,0,0,55,78,56,-15,60,3,0,0,0,9.979
Samurai shirt,0,0,0,0,0,69,67,59,10,67,0,0,0,0,2
Zamorak monk top,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0.907
Black robe,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907
Blue wizard robe,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.907
God robe top,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0.005
Moonclan armour,0,0,0,5,-10,5,5,5,5,-10,0,0,0,0,4.535
Ghostly robe (top),0,0,0,5,0,0,0,0,5,0,0,0,0,0,0.001
Xerician top,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0.2
Skeletal top,0,0,0,8,-10,35,25,42,15,0,0,0,0,0,4.989
Lunar torso,0,0,0,10,-10,34,22,40,12,0,0,0,0,0,4.535
Splitbark body,0,0,0,10,-10,36,26,42,15,0,0,0,0,0,4.535
Elder chaos top,0,0,0,10,0,0,0,0,8,0,0,0,0.01,0,0.2
Swampbark body,0,0,0,15,0,38,44,48,21,0,0,0,0,0,4.535
Mystic robe top / Enchanted robe top,0,0,0,20,0,0,0,0,20,0,0,0,0,0,2.721
Bloodbark body,0,0,0,21,0,53,39,64,24,0,0,0,0.01,0,4.535
Infinity top,0,0,0,22,0,0,0,0,22,0,0,0,0.01,0,2.267
3rd age robe top,0,0,0,24,0,0,0,0,24,0,0,0,0.01,0,2.7
Dagon'hai robe top,0,0,0,25,0,0,0,0,21,0,0,0,0.01,2,2.267
Ahrim's robetop,0,0,0,30,-10,52,37,63,30,0,0,0,0.01,0,4.535
Blue moon chestplate,0,0,0,30,0,0,0,51,28,0,2,0,0.01,0,3.175
Virtus robe top,0,0,0,35,-11,47,36,56,31,0,0,0,0.02,2,2.895
Ancestral robe top,0,0,0,35,-8,42,31,51,28,0,0,0,0.03,0,2.721
Oathplate chest,0,16,0,-16,-18,105,128,100,-5,112,4,0,0,0,9.979
Mixed hide top,4,-2,-3,-15,27,33,39,43,30,32,2,0,0,0,3
