Name,Stab Acc,Slash Acc,Crush Acc,Mage Acc,Range Acc,Stab Def,Slash Def,Crush Def,Mage Def,Range Def,Melee Str,Range Str,Mage Dmg,Prayer,Weight
Silly jester hat,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,2.721
Mind helmet,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.113
Ham hood,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0.453
Gold helmet,0,0,0,0,0,0,10,20,0,10,0,0,0,0,31.751
Khazard helmet,0,0,0,0,0,4,5,3,0,0,0,0,0,0,2.721
Rogue mask,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0.453
Void mage helm,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0.453
Void melee helm,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0.453
Void ranger helm,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0.453
Black mask (i),0,0,0,0,0,9,10,8,-1,9,0,0,0,0,10
Halo,0,0,0,0,0,11,12,10,11,-1,0,0,0,3,0.3
Samurai kasa,0,0,0,0,0,16,17,15,4,16,0,0,0,0,0.6
Obsidian helmet,0,0,0,0,0,25,23,26,0,24,3,0,0,0,3.628
Runner hat,0,0,0,0,0,30,32,27,1,30,0,0,0,0,1
Helm of neitiznot,0,0,0,0,0,31,29,34,3,30,3,0,0,3,2.267
Neitiznot faceguard,0,0,0,0,0,36,34,38,3,34,6,0,0,3,2.721
Leather cowl,0,0,0,0,1,2,3,4,2,3,0,0,0,0,0.907
Skeletal helm,0,0,0,2,-2,10,9,11,3,0,0,0,0,0,1.36
Mask of ranul,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.35
Blue wizard hat,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.453
Moonclan helm,0,0,0,3,-5,3,3,3,3,-5,0,0,0,0,0.907
Lunar helm,0,0,0,3,-2,8,7,10,2,0,0,0,0,0,0.907
Splitbark helm,0,0,0,3,-2,10,9,11,3,0,0,0,0,0,0.907
Ghostly hood,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.001
Xerician hat,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.2
Blue hat,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.453
Helmet of the moon,0,0,0,3,0,6,7,5,3,6,0,0,0,3,0.35
Slayer helmet (i),0,0,0,3,3,30,32,27,10,30,0,0,0,0,2.267
Mystic hat / Enchanted hat,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0.453
God mitre,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0.3
Swampbark helm,0,0,0,4,0,13,11,14,5,0,0,0,0,0,0.907
Elder chaos hood,0,0,0,5,0,0,0,0,4,0,0,0,0.01,0,0.18
Dagon'hai hat,0,0,0,5,0,0,0,0,5,0,0,0,0.01,2,0.453
Bloodbark helm,0,0,0,5,0,16,14,17,6,0,0,0,0.01,0,0.907
Ahrim's hood,0,0,0,6,-2,15,13,16,6,0,0,0,0.01,0,0.907
Infinity hat,0,0,0,6,0,0,0,0,6,0,0,0,0.01,0,0.453
Blue moon helm,0,0,0,6,0,0,0,10,6,0,3,0,0.01,0,0.453
Virtus mask,0,0,0,8,-3,15,14,16,6,0,0,0,0.02,1,1.206
Ancestral hat,0,0,0,8,-2,12,11,13,5,0,0,0,0.03,0,0.453
3rd age mage hat,0,0,0,8,0,0,0,0,8,0,0,0,0.01,0,0.4
V's helm,0,0,0,8,12,40,40,40,10,40,8,2,0.03,0,2.721
Dwarven helmet,0,0,6,-2,-2,27,28,31,5,24,0,0,0,0,1.9
Zombie helmet,0,0,8,-4,-2,30,32,38,0,30,2,0,0,0,2.721
Warrior helm,0,5,0,-5,-5,31,33,29,0,30,0,0,0,0,2.721
Oathplate helm,0,10,0,-2,-7,50,72,45,0,50,6,0,0,0,2.721
Fighter hat,5,5,5,-7,-7,27,29,26,-3,28,0,0,0,0,2
